日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
113/11/06,420 豐原區,LH1 菠菜 圓葉 ,117.0,117.0,117.0,117.0, + 34,54.0, - 38,0
113/11/06,260 宜蘭市,LH1 菠菜 圓葉 ,130.0,80.0,40.0,80.0,  -  ,2450.0,  -  ,0
113/11/06,104 台北二,LH2 菠菜 角葉 ,118.0,54.6,13.2,59.0, - 11,501.0, - 23,0
113/11/06,400 台中市,LH2 菠菜 角葉 ,63.0,28.3,25.0,41.1, - 27,160.0, - 50,0
113/11/06,400 台中市,LH1 菠菜 圓葉 ,91.5,53.7,45.5,63.2, - 22,164.0, + 59,0
113/11/06,220 板橋區,LH2 菠菜 角葉 ,98.1,69.9,47.0,71.0, - 10,223.0, - 75,0
113/11/06,220 板橋區,LH1 菠菜 圓葉 ,110.0,95.5,43.6,88.0, -  7,542.0, - 25,0
113/11/06,338 桃　農,LH1 菠菜 圓葉 ,113.7,76.1,42.8,77.0, + 10,417.0, - 37,0
113/11/06,800 高雄市,LH2 菠菜 角葉 ,155.0,142.3,84.1,133.21, + 62,560.0, - 53,0
113/11/06,800 高雄市,LH1 菠菜 圓葉 ,115.6,88.6,63.2,88.9, -  2,896.0, -  6,0
113/11/06,338 桃　農,LH2 菠菜 角葉 ,60.0,60.0,60.0,60.0, - 29,60.0,    0,0
113/11/06,109 台北一,LH2 菠菜 角葉 ,155.0,77.8,13.1,80.3, + 26,432.0, - 82,0
113/11/06,109 台北一,LH1 菠菜 圓葉 ,140.2,84.7,42.1,87.3, -  7,3773.0, - 16,0
113/11/06,648 西螺鎮,LH2 菠菜 角葉 ,130.0,100.0,50.0,93.9, -  0,3570.0, + 26,0
113/11/06,930 台東市,LH1 菠菜 圓葉 ,53.0,53.0,53.0,53.0,    0,90.0, + 50,0
113/11/06,900 屏東市,LH2 菠菜 角葉 ,121.7,99.7,81.7,99.7, + 47,300.0, - 53,0
113/11/06,900 屏東市,LH1 菠菜 圓葉 ,69.9,28.3,15.0,28.3, + 18,578.0, - 14,0
113/11/06,830 鳳山區,LH1 菠菜 圓葉 ,68.6,28.5,20.0,34.8, +  2,770.0, - 13,0
113/11/07,400 台中市,LH1 菠菜 圓葉 ,59.0,30.0,25.0,30.8, - 51,93.0, - 43,0
113/11/07,338 桃　農,LH1 菠菜 圓葉 ,100.0,100.0,81.8,96.4, + 25,176.0, - 58,0
113/11/07,830 鳳山區,LH2 菠菜 角葉 ,95.0,31.0,25.4,42.7,  -  ,450.0,  -  ,0
113/11/07,420 豐原區,LH1 菠菜 圓葉 ,101.0,101.0,101.0,101.0, - 14,54.0,    0,0
113/11/07,930 台東市,LH1 菠菜 圓葉 ,53.0,53.0,53.0,53.0,    0,90.0,    0,0
113/11/07,338 桃　農,LH2 菠菜 角葉 ,30.0,23.0,22.0,24.2, - 60,100.0, + 67,0
113/11/07,648 西螺鎮,LH2 菠菜 角葉 ,130.0,100.0,50.0,96.2, +  2,3641.0, +  2,0
113/11/07,104 台北二,LH1 菠菜 圓葉 ,142.8,104.8,66.7,104.8, + 14,1261.0, - 32,0
113/11/07,104 台北二,LH2 菠菜 角葉 ,120.0,71.5,20.0,70.9, + 20,287.0, - 43,0
113/11/07,220 板橋區,LH1 菠菜 圓葉 ,120.0,107.4,84.3,105.3, + 20,519.0, -  4,0
113/11/07,800 高雄市,LH2 菠菜 角葉 ,147.9,110.7,50.4,106.08, - 20,762.0, + 36,0
113/11/07,800 高雄市,LH1 菠菜 圓葉 ,126.2,78.7,65.0,85.46, -  4,1313.0, + 47,0
113/11/07,109 台北一,LH2 菠菜 角葉 ,155.8,100.7,45.7,100.8, + 26,737.0, + 71,0
113/11/07,109 台北一,LH1 菠菜 圓葉 ,132.5,93.4,50.2,92.6, +  6,2611.0, - 31,0
113/11/07,220 板橋區,LH2 菠菜 角葉 ,95.1,43.7,27.0,50.7, - 29,235.0, +  5,0
113/11/07,900 屏東市,LH2 菠菜 角葉 ,126.1,91.6,70.2,91.6, -  8,620.0, +107,0
113/11/07,900 屏東市,LH1 菠菜 圓葉 ,28.0,28.0,27.8,27.9, -  1,250.0, - 57,0
113/11/07,241 三重區,LH1 菠菜 圓葉 ,113.6,77.1,52.9,79.6, + 19,564.0, - 40,0
113/11/08,104 台北二,LH1 菠菜 圓葉 ,142.7,106.9,73.9,107.5, +  3,1507.0, + 20,0
113/11/08,220 板橋區,LH1 菠菜 圓葉 ,135.0,119.2,86.7,115.8, + 10,677.0, + 30,0
113/11/08,338 桃　農,LH1 菠菜 圓葉 ,145.0,120.7,85.0,118.4, + 23,137.0, - 22,0
113/11/08,109 台北一,LH2 菠菜 角葉 ,137.7,70.4,20.2,73.8, - 27,1150.0, + 56,0
113/11/08,104 台北二,LH2 菠菜 角葉 ,114.5,110.0,110.0,110.9, + 56,221.0, - 23,0
113/11/08,830 鳳山區,LH1 菠菜 圓葉 ,65.5,29.4,20.0,34.8,  -  ,840.0,  -  ,0
113/11/08,930 台東市,LH1 菠菜 圓葉 ,53.0,53.0,53.0,53.0,    0,90.0,    0,0
113/11/08,648 西螺鎮,LH2 菠菜 角葉 ,130.0,100.0,50.0,96.0, -  0,3561.0, -  2,0
113/11/08,420 豐原區,LH1 菠菜 圓葉 ,117.0,117.0,117.0,117.0, + 16,72.0, + 33,0
113/11/08,220 板橋區,LH2 菠菜 角葉 ,96.7,51.0,51.0,60.1, + 19,233.3, -  1,0
113/11/08,241 三重區,LH1 菠菜 圓葉 ,139.5,56.8,40.0,70.0, - 12,189.0, - 66,0
113/11/08,260 宜蘭市,LH1 菠菜 圓葉 ,120.0,90.0,70.0,90.0,  -  ,2450.0,  -  ,0
113/11/08,109 台北一,LH1 菠菜 圓葉 ,149.4,108.9,71.5,109.5, + 18,3135.0, + 20,0
113/11/08,800 高雄市,LH2 菠菜 角葉 ,149.4,122.9,59.2,115.46, +  9,637.0, - 16,0
113/11/08,800 高雄市,LH1 菠菜 圓葉 ,128.8,78.9,65.0,86.12, +  1,1129.0, - 14,0
113/11/08,900 屏東市,LH2 菠菜 角葉 ,73.3,73.3,73.3,73.3, - 20,30.0, - 95,0
113/11/08,900 屏東市,LH1 菠菜 圓葉 ,68.9,28.7,15.0,28.7, +  3,738.0, +195,0
113/11/08,400 台中市,LH1 菠菜 圓葉 ,151.0,129.5,48.0,75.3, +144,128.0, + 38,0
