日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,中價_lag1,中價_lag7,中價_lag14,下價_lag1,下價_lag7,下價_lag14,價格區間_lag1,價格區間_lag7,價格區間_lag14,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmean_3d_prev,日照時數(hour)_rollmean_3d_prev,相對溼度(%)_rollmean_3d_prev,最大陣風(m/s)_rollmean_3d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter,weekday,is_weekend,is_mon,is_fri
111/01/29,27.463,43.91818181818182,48.85454545454545,47.9,30.58181818181818,31.163636363636364,30.181818181818183,18.29090909090909,18.05454545454545,17.70909090909091,25.62727272727273,30.8,30.190909090909088,10522.727272727272,10394.163636363635,19864.56363636364,31.114545454545453,32.57818181818182,30.89727272727273,18.64,20.98,16.919999999999998,0.0,5.7,6.8,93.2,5.24,19.606666666666666,24.786666666666672,16.846666666666668,5.0666666666666655,89.33333333333333,6.646666666666666,5.7,15.036,6.8,13.1,4.060000000000002,0,0,0,0,0,1,1,1,0.4999999999999999,0.8660254037844387,1,5,1,0,0
111/01/30,30.148000000000003,43.94,50.09,49.46,26.58,29.26,31.31,14.3,15.64,18.86,29.64,34.45,30.6,9521.2,8267.1,18540.0,27.463,30.479,31.92,16.52,17.66,15.419999999999998,0.0,13.1,8.8,97.6,5.82,18.506666666666664,21.80666666666667,16.71333333333333,2.333333333333332,92.46666666666664,6.226666666666666,18.8,19.436,15.6,17.3,2.240000000000002,0,0,0,0,0,1,2,1,0.4999999999999999,0.8660254037844387,1,6,1,0,0
111/01/31,26.016666666666666,45.19,60.15,55.0,28.2,39.3,38.4,17.78,25.5,19.3,27.41,34.65,35.7,6679.5,5535.1,23523.3,30.148000000000003,43.870000000000005,39.955,14.22,16.7,11.52,2.3,0.218,0.2,90.4,11.08,16.46,18.446666666666665,14.62,0.7666666666666654,93.73333333333332,7.379999999999999,19.018,19.554,15.8,17.5,5.18,0,0,0,0,0,1,3,1,0.4999999999999999,0.8660254037844387,1,0,0,1,0
111/11/01,28.64916666666667,,,,,,,,,,,,,,,,,,,22.68,25.4,20.72,0.0,4.4,6.5,92.8,8.780000000000001,23.77333333333333,28.50666666666666,20.666666666666668,5.300000000000002,85.39999999999999,6.62,4.5,4.9,6.5,6.5,4.68,0,0,0,0,0,1,1,11,-0.5000000000000004,0.8660254037844384,1,1,0,0,0
111/11/02,28.495,45.53333333333333,,,28.558333333333334,,,18.1,,,27.433333333333334,,,20886.6,,,28.64916666666667,,,23.28,28.74,20.18,3.1,0.618,0.2,82.2,5.459999999999999,23.42,28.01333333333333,20.41333333333333,3.100000000000002,85.86666666666666,6.506666666666667,5.018000000000001,5.418000000000001,6.7,6.7,8.559999999999999,0,0,0,0,0,1,2,11,-0.5000000000000004,0.8660254037844384,1,2,0,0,0
111/11/03,28.805000000000003,44.66666666666666,,,28.3,,,17.900000000000002,,,26.766666666666666,,,14517.958333333334,,,28.495,,,23.380000000000003,28.98,19.5,4.5,0.1,0.0,84.2,5.34,23.113333333333333,27.706666666666663,20.133333333333333,2.5333333333333354,86.40000000000002,6.526666666666666,5.118,5.418,6.7,6.7,9.48,0,0,0,0,0,1,3,11,-0.5000000000000004,0.8660254037844384,1,3,0,0,0
111/11/04,28.4725,45.36666666666667,,,28.475,,,17.833333333333332,,,27.53333333333333,,,18314.125,,,28.805000000000003,,,25.12,31.14,20.92,8.0,0.1,0.0,83.6,5.92,23.926666666666662,29.619999999999997,20.2,5.200000000000002,83.33333333333333,5.573333333333333,0.8180000000000001,5.418,0.2,6.7,10.22,0,0,0,0,0,1,4,11,-0.5000000000000004,0.8660254037844384,1,4,0,0,1
111/11/05,28.71,44.49166666666667,,,28.116666666666664,,,18.15,,,26.341666666666665,,,22420.016666666663,,,28.4725,,,23.76,29.34,20.54,4.5,0.1,0.0,85.8,5.84,24.08666666666667,29.82,20.32,5.666666666666669,84.53333333333335,5.7,0.3,5.418,0.0,6.7,8.8,0,0,0,0,0,1,5,11,-0.5000000000000004,0.8660254037844384,1,5,1,0,0
111/11/06,30.281818181818185,46.4,,,28.425,,,18.066666666666663,,,28.33333333333333,,,27458.108333333334,,,28.71,,,21.4,24.64,19.46,1.2,0.0,0.0,83.6,4.84,23.426666666666662,28.37333333333333,20.30666666666667,4.566666666666669,84.33333333333333,5.533333333333334,0.2,5.3180000000000005,0.0,6.7,5.18,0,0,0,0,0,0,0,11,-0.5000000000000004,0.8660254037844384,1,6,1,0,0
111/11/07,29.88,49.02727272727272,,,29.49090909090909,,,18.827272727272728,,,30.2,,,30776.072727272727,,,30.281818181818185,,,22.14,28.08,18.660000000000004,3.2,0.1,0.0,81.4,5.82,22.433333333333334,27.353333333333328,19.55333333333333,2.966666666666669,83.60000000000001,5.5,0.2,5.418,0.0,6.7,9.419999999999996,0,0,0,0,0,1,1,11,-0.5000000000000004,0.8660254037844384,1,0,0,1,0
