日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
107/11/06,104 台北二,LA1 甘藍 初秋 ,23.7,12.7,8.5,14.0, - 10,49954.0, +  0,0
107/11/06,338 桃　農,LA1 甘藍 初秋 ,16.5,10.6,8.0,11.3, - 46,8340.0, +518,0
107/11/06,648 西螺鎮,LA1 甘藍 初秋 ,17.6,12.1,5.8,11.9, - 25,221624.0, -  2,0
107/11/06,900 屏東市,LA1 甘藍 初秋 ,17.9,11.5,6.4,11.5, - 18,48254.0, + 51,0
107/11/06,930 台東市,LA1 甘藍 初秋 ,36.0,16.0,6.0,15.0, - 25,6132.0, - 11,0
107/11/07,950 花蓮市,LA1 甘藍 初秋 ,26.9,12.7,8.2,14.6, + 29,3700.0, + 14,0
107/11/07,241 三重區,LA1 甘藍 初秋 ,14.6,5.2,2.0,6.4, - 37,10110.0, - 41,0
107/11/07,930 台東市,LA1 甘藍 初秋 ,30.0,15.0,7.0,15.0,    0,3722.0, - 39,0
107/11/07,220 板橋區,LA1 甘藍 初秋 ,12.0,10.2,6.0,9.7, + 94,10040.0, - 63,0
107/11/07,830 鳳山區,LA1 甘藍 初秋 ,14.7,8.5,5.9,9.2, - 19,20020.0, +  8,0
107/11/07,648 西螺鎮,LA1 甘藍 初秋 ,15.2,9.8,4.7,9.8, - 18,235720.0, +  6,0
107/11/07,338 桃　農,LA1 甘藍 初秋 ,14.6,9.6,8.0,10.3, -  9,4221.0, - 49,0
107/11/07,420 豐原區,LA1 甘藍 初秋 ,16.0,11.3,5.0,10.96, - 31,14860.0, - 17,0
107/11/07,514 溪湖鎮,LA1 甘藍 初秋 ,20.0,14.5,9.0,14.5, -  2,20634.0, - 45,0
107/11/07,109 台北一,LA1 甘藍 初秋 ,19.1,8.4,4.3,9.7, - 24,139494.0, -  5,0
107/11/07,104 台北二,LA1 甘藍 初秋 ,18.8,8.9,4.6,10.0, - 29,54399.0, +  9,0
107/11/07,512 永靖鄉,LA1 甘藍 初秋 ,18.0,15.0,12.0,15.0,    0,6662.0, - 31,0
107/11/07,540 南投市,LA1 甘藍 初秋 ,20.0,8.0,3.0,7.65, - 18,1867.0, - 35,0
107/11/07,900 屏東市,LA1 甘藍 初秋 ,16.6,10.3,6.1,10.3, - 10,41078.0, - 15,0
107/11/07,260 宜蘭市,LA1 甘藍 初秋 ,30.0,25.0,12.0,25.0, + 67,3950.0, -  7,0
107/11/07,800 高雄市,LA1 甘藍 初秋 ,23.5,14.6,6.9,14.9, - 11,60063.0, + 11,0
107/11/07,400 台中市,LA1 甘藍 初秋 ,8.7,6.4,4.1,6.1, - 29,19623.0, - 19,0
107/11/08,514 溪湖鎮,LA1 甘藍 初秋 ,17.6,12.6,7.5,12.6, - 13,37974.0, + 84,0
107/11/08,930 台東市,LA1 甘藍 初秋 ,30.0,20.0,10.0,15.0,    0,4966.0, + 33,0
107/11/08,900 屏東市,LA1 甘藍 初秋 ,13.1,6.8,3.4,6.8, - 34,43094.0, +  5,0
107/11/08,241 三重區,LA1 甘藍 初秋 ,10.4,6.5,3.4,6.7, +  5,10709.0, +  6,0
107/11/08,104 台北二,LA1 甘藍 初秋 ,13.7,5.2,3.2,6.5, - 35,73767.0, + 36,0
107/11/08,950 花蓮市,LA1 甘藍 初秋 ,14.9,12.8,7.5,12.2, - 16,2223.0, - 40,0
107/11/08,648 西螺鎮,LA1 甘藍 初秋 ,13.7,9.7,4.2,9.4, -  4,228798.0, -  3,0
107/11/08,400 台中市,LA1 甘藍 初秋 ,8.1,5.5,3.5,6.3, +  3,22342.0, + 14,0
107/11/08,830 鳳山區,LA1 甘藍 初秋 ,12.6,7.8,6.0,8.4, -  9,18880.0, -  6,0
107/11/08,512 永靖鄉,LA1 甘藍 初秋 ,18.0,12.0,8.0,12.1, - 19,2791.0, - 58,0
107/11/08,540 南投市,LA1 甘藍 初秋 ,14.0,11.0,2.0,10.6, + 39,1853.0, -  1,0
107/11/08,338 桃　農,LA1 甘藍 初秋 ,10.0,4.7,4.0,5.6, - 46,4440.0, +  5,0
107/11/08,260 宜蘭市,LA1 甘藍 初秋 ,30.0,22.0,12.0,22.0, - 12,3850.0, -  3,0
107/11/08,109 台北一,LA1 甘藍 初秋 ,14.9,6.3,3.5,7.5, - 23,177549.0, + 27,0
107/11/08,800 高雄市,LA1 甘藍 初秋 ,19.2,11.2,3.8,11.4, - 23,74143.0, + 23,0
107/11/08,220 板橋區,LA1 甘藍 初秋 ,12.2,9.7,6.7,9.6, -  1,9050.0, - 10,0
107/11/09,220 板橋區,LA1 甘藍 初秋 ,10.1,6.2,3.3,6.4, - 33,29409.0, +225,0
