日期,價格(元/公斤),價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,價格(元/公斤)_ma3,價格(元/公斤)_ma7,氣溫(℃)_rollmean_7d,最低氣溫(℃)_rollmean_7d,最低氣溫(℃)_rollmin_7d,降水量(mm)_rollsum_7d,日照時數(hour)_rollmean_7d,相對溼度(%)_rollmean_7d,最大陣風(m/s)_rollmax_7d,is_cold_wave,is_strong_cold,is_frost_risk,is_heavy_rain,is_strong_wind,consecutive_rainy_days,month_sin,month_cos,is_winter
108/01/15,13.305714285714286,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/16,12.97,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/17,13.841333333333331,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/18,14.598571428571429,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/19,14.035714285714286,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/20,14.984615384615385,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/21,19.825,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/22,17.926,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/23,15.680714285714286,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/24,16.312666666666665,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/25,18.040666666666667,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/26,17.147142857142857,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/27,18.466666666666665,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/28,25.866666666666664,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/29,19.44,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/30,18.40357142857143,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/31,19.88714285714286,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/11/01,19.275714285714287,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/02,21.14846153846154,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/03,23.07166666666667,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/04,16.4,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/05,20.764285714285712,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/06,20.91333333333333,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
108/11/07,20.985714285714288,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
