日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,價格(元/公斤)_ma3,價格(元/公斤)_ma7
112/12/12,226.01666666666665,276.21666666666664,224.45,184.3,997.5,91.91666666666666,246.7,230.475,247.575,244.71333333333334,241.36738095238096
112/12/13,220.1833333333333,266.4833333333333,218.11666666666667,174.73333333333335,1325.5833333333333,91.75,226.01666666666665,236.64,242.675,238.3188888888889,240.73047619047617
112/12/14,217.11666666666667,257.78333333333336,219.01666666666665,168.43333333333334,992.0833333333334,89.35000000000002,220.1833333333333,237.45,221.7,230.96666666666667,238.37952380952382
112/12/15,215.23333333333332,262.06666666666666,217.33333333333331,159.79999999999998,1099.3333333333333,102.26666666666668,217.11666666666667,250.86666666666667,224.65,221.10555555555553,235.4747619047619
112/12/16,212.08333333333331,265.3,213.5666666666667,156.61666666666667,1382.75,108.68333333333334,215.23333333333332,245.2,224.36,217.5111111111111,230.38428571428568
112/12/17,202.5666666666667,257.4166666666667,202.48333333333332,149.83333333333334,1329.1666666666667,107.58333333333334,212.08333333333331,242.24,226.85,214.81111111111113,225.65333333333334
112/12/19,191.6833333333333,239.8166666666667,191.33333333333331,144.25,1738.7666666666669,95.56666666666668,202.5666666666667,246.7,227.2,209.9611111111111,219.9857142857143
112/12/20,184.4,237.83333333333331,185.78333333333333,125.88333333333333,1503.1666666666667,111.95000000000002,191.6833333333333,226.01666666666665,230.475,202.1111111111111,212.12619047619046
112/12/21,187.45,243.0,184.8,135.53333333333333,1021.3333333333334,107.46666666666668,184.4,220.1833333333333,236.64,192.88333333333333,206.1809523809524
112/12/22,196.1,245.6,194.7,143.70000000000002,1307.5,101.89999999999998,187.45,217.11666666666667,237.45,187.84444444444443,201.5047619047619
112/12/23,196.66,268.46,194.34,131.16000000000005,1432.3,137.29999999999995,196.1,215.23333333333332,250.86666666666667,189.3166666666667,198.50238095238095
112/12/24,206.41666666666663,263.03333333333336,207.21666666666667,143.4,1224.3333333333333,119.63333333333335,196.66,212.08333333333331,245.2,193.40333333333334,195.84904761904764
112/12/26,204.71666666666667,256.2333333333333,203.4,153.56666666666666,1293.8333333333333,102.66666666666669,206.41666666666663,202.5666666666667,242.24,199.72555555555553,195.0395238095238
112/12/27,222.3166666666667,280.45,222.4333333333333,160.18333333333334,1243.6666666666667,120.26666666666664,204.71666666666667,191.6833333333333,246.7,202.59777777777776,195.34666666666664
112/12/28,229.63333333333333,283.26666666666665,229.91666666666663,168.4,1098.3333333333333,114.86666666666665,222.3166666666667,184.4,226.01666666666665,211.15,199.72285714285712
112/12/29,231.25,287.4166666666667,227.0666666666667,177.36666666666667,1112.9166666666667,110.05,229.63333333333333,187.45,220.1833333333333,218.8888888888889,206.1847619047619
112/12/30,211.6833333333333,268.0833333333333,208.45,151.76666666666668,1639.5833333333333,116.31666666666663,231.25,196.1,217.11666666666667,227.73333333333335,212.44190476190474
112/12/31,228.94,302.58000000000004,226.88,152.92000000000002,2205.5,149.66000000000005,211.6833333333333,196.66,215.23333333333332,224.18888888888887,214.66809523809525
113/01/02,287.5,348.6142857142857,282.77142857142854,229.15714285714284,1932.4285714285716,119.45714285714286,228.94,206.41666666666663,212.08333333333331,223.95777777777775,219.2795238095238
113/01/03,198.2,254.96666666666667,196.51666666666665,141.66666666666666,2187.4166666666665,113.3,287.5,204.71666666666667,202.5666666666667,242.70777777777775,230.86285714285714
113/01/04,189.4,234.76666666666665,189.48333333333332,141.20000000000002,1840.75,93.56666666666663,198.2,222.3166666666667,191.6833333333333,238.21333333333334,229.93190476190475
113/01/05,175.32857142857142,235.72857142857143,172.71428571428572,119.72857142857144,1604.357142857143,116.0,189.4,229.63333333333333,184.4,225.03333333333333,225.22952380952384
113/01/06,188.61666666666667,246.05,188.55,132.68333333333334,2110.0,113.36666666666665,175.32857142857142,231.25,187.45,187.64285714285714,217.4717006802721
113/01/07,191.95,252.0666666666667,191.0,132.70000000000002,1840.0,119.36666666666667,188.61666666666667,211.6833333333333,196.1,184.44841269841268,211.3812244897959
113/01/09,202.8166666666667,264.2,202.88333333333333,137.71666666666667,2393.9166666666665,126.48333333333332,191.95,228.94,196.66,185.2984126984127,208.5621768707483
113/01/10,198.36666666666667,267.45,195.28333333333333,134.6,1913.6666666666667,132.85,202.8166666666667,287.5,206.41666666666663,194.46111111111114,204.83027210884353
113/01/11,203.09833333333333,262.3333333333333,202.03333333333333,141.79999999999998,1614.3333333333333,120.53333333333332,198.36666666666667,198.2,204.71666666666667,197.71111111111114,192.0969387755102
