日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間
113/12/15,242.336,329.38,233.8,166.0,671.3,163.38
113/12/17,246.42666666666665,323.51666666666665,242.4,169.65,526.3333333333334,153.86666666666665
113/12/18,263.9816666666667,341.9666666666667,263.0333333333333,182.6,515.4166666666666,159.3666666666667
113/12/19,264.7,343.8,264.575,162.65,1086.375,181.15
113/12/20,279.62,356.6666666666667,281.28333333333336,190.26666666666665,365.5,166.40000000000003
113/12/21,285.162,367.9,289.9,187.74,672.38,180.15999999999997
113/12/22,301.04857142857145,363.88571428571424,300.2714285714286,232.79999999999998,509.42857142857144,131.08571428571426
113/12/24,257.455,329.26666666666665,253.76666666666665,188.70000000000002,899.1333333333333,140.56666666666663
113/12/25,259.9266666666667,333.59999999999997,258.78333333333336,180.5,1268.1833333333334,153.09999999999997
113/12/27,267.59142857142854,331.7285714285714,270.38571428571424,189.94285714285712,783.1285714285714,141.78571428571428
113/12/28,266.2,338.92857142857144,267.0142857142857,183.78571428571428,925.4285714285714,155.14285714285717
113/12/29,259.78428571428566,333.2714285714286,260.4,179.8857142857143,1142.4285714285713,153.3857142857143
113/12/31,267.4557142857143,353.0,261.18571428571425,189.07142857142858,1315.357142857143,163.92857142857142
114/01/01,272.33,345.4714285714286,269.65714285714284,193.52857142857144,1055.642857142857,151.94285714285715
114/01/02,230.86714285714285,317.59999999999997,220.07142857142858,164.84285714285716,847.3142857142857,152.7571428571428
114/01/03,294.8183333333333,375.9666666666667,292.23333333333335,212.91666666666666,1190.75,163.05000000000004
114/01/04,270.3833333333333,358.26666666666665,263.68333333333334,183.65,1332.7666666666667,174.61666666666665
114/01/05,267.0857142857143,359.0857142857143,266.2285714285714,156.12857142857143,935.0714285714286,202.95714285714286
114/01/07,250.43571428571428,331.34285714285716,246.32857142857142,162.52857142857144,1792.2,168.81428571428572
114/01/08,234.40857142857143,313.14285714285717,225.82857142857142,169.72857142857143,1305.9285714285713,143.41428571428574
114/01/09,259.69571428571425,322.5857142857143,251.91428571428568,198.8857142857143,905.9,123.69999999999999
114/01/10,260.03333333333336,337.9166666666667,255.54999999999998,184.71666666666667,1419.75,153.20000000000002
114/01/11,224.1185714285714,317.85714285714283,212.9857142857143,142.07142857142858,1395.9428571428573,175.78571428571425
114/01/12,254.4057142857143,334.7857142857143,247.82857142857142,170.34285714285716,1227.142857142857,164.44285714285712
114/01/14,276.8357142857143,376.1714285714285,266.9714285714286,176.98571428571427,1424.5857142857144,199.18571428571425
114/01/15,243.51,334.8,233.29999999999998,163.92857142857142,1366.5,170.8714285714286
114/01/16,230.815,328.04999999999995,229.1,165.7,269.0,162.34999999999997
114/01/17,233.52571428571426,310.25714285714287,231.02857142857144,151.9,1672.5142857142857,158.35714285714286
114/01/18,221.18285714285713,294.5142857142857,215.08571428571426,145.6,1158.642857142857,148.91428571428568
114/01/19,221.3242857142857,304.35714285714283,213.29999999999998,142.1,1159.0714285714287,162.25714285714284
114/01/21,250.15285714285713,345.2714285714286,243.5,161.20000000000002,1738.4285714285713,184.07142857142858
114/01/22,266.47166666666664,353.2166666666667,257.81666666666666,196.0,1397.5,157.2166666666667
114/01/23,233.55142857142854,327.14285714285717,226.87142857142857,142.42857142857142,1106.6,184.71428571428575
114/01/24,268.81166666666667,362.0333333333333,258.5833333333333,186.0,1452.9333333333334,176.0333333333333
114/01/25,260.64714285714285,353.85714285714283,253.55714285714288,165.52857142857144,1848.8714285714286,188.3285714285714
114/01/26,257.41333333333336,351.8666666666666,249.63333333333333,158.4,1755.7833333333335,193.4666666666666
114/01/27,286.47499999999997,376.93333333333334,283.78333333333336,191.08333333333334,1998.5,185.85
114/01/28,228.89142857142858,327.88571428571424,215.91428571428568,141.95714285714286,2380.8142857142857,185.9285714285714
